id,year,date,block,plot,plot.id,species,indiv,leaf.length,leaf.width,total.leaves,flower.number,display.size.1,display.size.2,display.size.3,display.size.4,display.size.5,display.size.6,display.size.7,display.size.8,seed.set.1,seed.set.2,seed.set.3,seed.set.4,seed.set.5,seed.set.6,seed.set.7,seed.set.8,seed.set.9,seed.set.10,seed.set.11,seed.set.12,seed.set.13,seed.set.14
2017-2C-ACMI-1,2017,23-Jul-17,2,C,2C,ACMI,1,181,29,9,102,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-1,2017,9-Jul-17,3,C,3C,ACMI,1,135,14,12,208,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-2,2017,9-Jul-17,3,C,3C,ACMI,2,100,20,19,396,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ACMI-3,2017,9-Jul-17,3,C,3C,ACMI,3,35,7,13,78,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5B-ACMI-1,2017,23-Jul-17,5,B,5B,ACMI,1,67,25,11,45,36,NA,NA,NA,NA,NA,NA,NA,141.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5C-ACMI-1,2017,23-Jul-17,5,C,5C,ACMI,1,101,25,10,70,48,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-5D-ACMI-1,2017,23-Jul-17,5,D,5D,ACMI,1,99,17,9,55,23,NA,NA,NA,NA,NA,NA,NA,41.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6A-ACMI-1,2017,9-Jul-17,6,A,6A,ACMI,1,120,14,16,36,32,NA,NA,NA,NA,NA,NA,NA,117.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-1,2017,9-Jul-17,6,B,6B,ACMI,1,62,17,16,108,45,NA,NA,NA,NA,NA,NA,NA,596.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-2,2017,9-Jul-17,6,B,6B,ACMI,2,72,11,16,60,38,NA,NA,NA,NA,NA,NA,NA,898.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ACMI-3,2017,9-Jul-17,6,B,6B,ACMI,3,47,9,19,60,35,NA,NA,NA,NA,NA,NA,NA,313.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-1,2017,23-Jul-17,6,C,6C,ACMI,1,83,30,8,130,75,NA,NA,NA,NA,NA,NA,NA,304.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-2,2017,23-Jul-17,6,C,6C,ACMI,2,72,19,9,35,38,NA,NA,NA,NA,NA,NA,NA,176.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ACMI-3,2017,23-Jul-17,6,C,6C,ACMI,3,91,17,11,77,48,NA,NA,NA,NA,NA,NA,NA,156.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-1,2017,9-Jul-17,7,A,7A,ACMI,1,55,11,23,174,34,NA,NA,NA,NA,NA,NA,NA,302.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-2,2017,9-Jul-17,7,A,7A,ACMI,2,64,8,20,56,34,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7A-ACMI-3,2017,9-Jul-17,7,A,7A,ACMI,3,56,11,23,90,32,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-1,2017,9-Jul-17,7,B,7B,ACMI,1,42,14,16,84,43,NA,NA,NA,NA,NA,NA,NA,948.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-2,2017,9-Jul-17,7,B,7B,ACMI,2,92,17,15,192,78,NA,NA,NA,NA,NA,NA,NA,2604.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7B-ACMI-3,2017,9-Jul-17,7,B,7B,ACMI,3,81,15,11,96,55,NA,NA,NA,NA,NA,NA,NA,1169.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7C-ACMI-1,2017,9-Jul-17,7,C,7C,ACMI,1,50,14,15,100,43,NA,NA,NA,NA,NA,NA,NA,202.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7C-ACMI-2,2017,9-Jul-17,7,C,7C,ACMI,2,37,11,18,126,35,NA,NA,NA,NA,NA,NA,NA,421.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7C-ACMI-3,2017,9-Jul-17,7,C,7C,ACMI,3,45,6,17,90,30,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7D-ACMI-1,2017,9-Jul-17,7,D,7D,ACMI,1,76,11,12,18,20,NA,NA,NA,NA,NA,NA,NA,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7D-ACMI-2,2017,9-Jul-17,7,D,7D,ACMI,2,101,14,16,138,65,NA,NA,NA,NA,NA,NA,NA,1142.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-7D-ACMI-3,2017,9-Jul-17,7,D,7D,ACMI,3,75,15,12,156,58,NA,NA,NA,NA,NA,NA,NA,1557.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-8B-ACMI-1,2017,9-Jul-17,8,B,8B,ACMI,1,79,16,15,90,53,NA,NA,NA,NA,NA,NA,NA,787.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-8C-ACMI-1,2017,9-Jul-17,8,C,8C,ACMI,1,68,18,18,128,43,NA,NA,NA,NA,NA,NA,NA,195.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-8C-ACMI-2,2017,9-Jul-17,8,C,8C,ACMI,2,50,15,19,48,29,NA,NA,NA,NA,NA,NA,NA,151.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-8C-ACMI-3,2017,9-Jul-17,8,C,8C,ACMI,3,96,13,14,162,35,NA,NA,NA,NA,NA,NA,NA,458.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-8D-ACMI-1,2017,9-Jul-17,8,D,8D,ACMI,1,55,7,19,35,30,NA,NA,NA,NA,NA,NA,NA,234.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-9B-ACMI-1,2017,9-Jul-17,9,B,9B,ACMI,1,61,11,13,176,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-9B-ACMI-2,2017,9-Jul-17,9,B,9B,ACMI,2,72,12,15,192,88,NA,NA,NA,NA,NA,NA,NA,701.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-9B-ACMI-3,2017,9-Jul-17,9,B,9B,ACMI,3,55,10,15,105,55,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12B-ACMI-1,2017,9-Jul-17,12,B,12B,ACMI,1,59,10,15,60,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12B-ACMI-2,2017,23-Jul-17,12,B,12B,ACMI,2,78,13,15,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-14A-ACMI-1,2017,9-Jul-17,14,A,14A,ACMI,1,110,16,8,36,23,NA,NA,NA,NA,NA,NA,NA,143.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-15A-ACMI-1,2017,9-Jul-17,15,A,15A,ACMI,1,91,21,8,40,33,NA,NA,NA,NA,NA,NA,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-15D-ACMI-1,2017,9-Jul-17,15,D,15D,ACMI,1,57,12,13,45,44,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-16D-ACMI-1,2017,9-Jul-17,16,D,16D,ACMI,1,51,9,13,50,30,NA,NA,NA,NA,NA,NA,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-16D-ACMI-2,2017,9-Jul-17,16,D,16D,ACMI,2,52,8,11,29,27,NA,NA,NA,NA,NA,NA,NA,265.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-16D-ACMI-3,2017,9-Jul-17,16,D,16D,ACMI,3,65,9,13,55,35,NA,NA,NA,NA,NA,NA,NA,324.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-17C-ACMI-1,2017,9-Jul-17,17,C,17C,ACMI,1,62,8,17,102,41,NA,NA,NA,NA,NA,NA,NA,869.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18A-ACMI-1,2017,9-Jul-17,18,A,18A,ACMI,1,92,17,12,175,51,NA,NA,NA,NA,NA,NA,NA,1090.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18A-ACMI-2,2017,9-Jul-17,18,A,18A,ACMI,2,63,21,14,248,63,NA,NA,NA,NA,NA,NA,NA,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18A-ACMI-3,2017,9-Jul-17,18,A,18A,ACMI,3,89,17,11,114,52,NA,NA,NA,NA,NA,NA,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-18C-ACMI-1,2017,23-Jul-17,18,C,18C,ACMI,1,51,14,25,110,30,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19A-ACMI-1,2017,23-Jul-17,19,A,19A,ACMI,1,91,14,7,95,42,NA,NA,NA,NA,NA,NA,NA,896.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19A-ACMI-2,2017,23-Jul-17,19,A,19A,ACMI,2,63,10,9,72,39,NA,NA,NA,NA,NA,NA,NA,557.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19A-ACMI-3,2017,23-Jul-17,19,A,19A,ACMI,3,76,13,8,90,44,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19B-ACMI-1,2017,23-Jul-17,19,B,19B,ACMI,1,99,11,8,50,31,NA,NA,NA,NA,NA,NA,NA,177.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19C-ACMI-1,2017,9-Jul-17,19,C,19C,ACMI,1,53,17,11,102,52,NA,NA,NA,NA,NA,NA,NA,686.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19C-ACMI-2,2017,9-Jul-17,19,C,19C,ACMI,2,61,11,10,45,31,NA,NA,NA,NA,NA,NA,NA,322.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-19C-ACMI-3,2017,9-Jul-17,19,C,19C,ACMI,3,56,12,13,162,47,NA,NA,NA,NA,NA,NA,NA,825.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-20A-ACMI-1,2017,9-Jul-17,20,A,20A,ACMI,1,49,5,10,19,23,NA,NA,NA,NA,NA,NA,NA,288.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-20A-ACMI-2,2017,9-Jul-17,20,A,20A,ACMI,2,48,9,10,80,42,NA,NA,NA,NA,NA,NA,NA,680.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-20A-ACMI-3,2017,9-Jul-17,20,A,20A,ACMI,3,41,6,11,40,25,NA,NA,NA,NA,NA,NA,NA,302.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-20C-ACMI-1,2017,9-Jul-17,20,C,20C,ACMI,1,82,18,8,100,34,NA,NA,NA,NA,NA,NA,NA,94.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-20D-ACMI-1,2017,9-Jul-17,20,D,20D,ACMI,1,53,11,12,60,37,NA,NA,NA,NA,NA,NA,NA,557.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-21A-ACMI-1,2017,23-Jul-17,21,A,21A,ACMI,1,96,17,12,77,32,NA,NA,NA,NA,NA,NA,NA,112.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-21D-ACMI-1,2017,23-Jul-17,21,D,21D,ACMI,1,55,10,15,80,46,NA,NA,NA,NA,NA,NA,NA,111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-21D-ACMI-2,2017,23-Jul-17,21,D,21D,ACMI,2,53,12,11,77,40,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23A-ACMI-1,2017,9-Jul-17,23,A,23A,ACMI,1,59,15,9,36,33,NA,NA,NA,NA,NA,NA,NA,137.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23A-ACMI-2,2017,9-Jul-17,23,A,23A,ACMI,2,60,14,11,45,43,NA,NA,NA,NA,NA,NA,NA,280.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23B-ACMI-1,2017,9-Jul-17,23,B,23B,ACMI,1,53,15,8,55,47,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23B-ACMI-2,2017,9-Jul-17,23,B,23B,ACMI,2,42,13,12,56,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23C-ACMI-1,2017,9-Jul-17,23,C,23C,ACMI,1,76,22,7,125,60,NA,NA,NA,NA,NA,NA,NA,475.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-23D-ACMI-1,2017,9-Jul-17,23,D,23D,ACMI,1,97,20,7,32,29,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-24C-ACMI-1,2017,9-Jul-17,24,C,24C,ACMI,1,49,9,16,126,42,NA,NA,NA,NA,NA,NA,NA,406.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-25D-ACMI-1,2017,9-Jul-17,25,D,25D,ACMI,1,75,19,11,168,48,NA,NA,NA,NA,NA,NA,NA,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1C-ASSU-1,2017,2-Sep-17,1,C,1C,ASSU,1,73,11,13,1,34,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1C-ASSU-2,2017,2-Sep-17,1,C,1C,ASSU,2,54,9,9,1,29,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1C-ASSU-3,2017,2-Sep-17,1,C,1C,ASSU,3,62,10,17,1,37,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1D-ASSU-1,2017,2-Sep-17,1,D,1D,ASSU,1,59,11,18,3,21,NA,NA,NA,NA,NA,NA,NA,40,32,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1D-ASSU-2,2017,2-Sep-17,1,D,1D,ASSU,2,56,9,13,1,22,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-1D-ASSU-3,2017,2-Sep-17,1,D,1D,ASSU,3,57,10,13,4,NA,NA,NA,NA,NA,NA,NA,NA,49,46,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2A-ASSU-1,2017,2-Sep-17,2,A,2A,ASSU,1,57,8,14,1,38,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2A-ASSU-2,2017,2-Sep-17,2,A,2A,ASSU,2,56,9,18,3,25,NA,NA,NA,NA,NA,NA,NA,38,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2A-ASSU-3,2017,2-Sep-17,2,A,2A,ASSU,3,85,12,19,6,31,NA,NA,NA,NA,NA,NA,NA,44,29,31,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2B-ASSU-1,2017,2-Sep-17,2,B,2B,ASSU,1,57,7,14,1,38,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2B-ASSU-2,2017,2-Sep-17,2,B,2B,ASSU,2,60,9,18,3,39,36,NA,NA,NA,NA,NA,NA,15,24,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2B-ASSU-3,2017,2-Sep-17,2,B,2B,ASSU,3,51,8,18,2,33,NA,NA,NA,NA,NA,NA,NA,28,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2C-ASSU-1,2017,2-Sep-17,2,C,2C,ASSU,1,53,7,14,6,37,31,NA,NA,NA,NA,NA,NA,41,25,33,23,39,36,NA,NA,NA,NA,NA,NA,NA,NA
2017-2C-ASSU-2,2017,2-Sep-17,2,C,2C,ASSU,2,60,6,14,2,27,NA,NA,NA,NA,NA,NA,NA,26,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2C-ASSU-3,2017,2-Sep-17,2,C,2C,ASSU,3,62,8,14,3,37,40,NA,NA,NA,NA,NA,NA,17,31,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2D-ASSU-1,2017,2-Sep-17,2,D,2D,ASSU,1,53,6,14,1,38,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2D-ASSU-2,2017,2-Sep-17,2,D,2D,ASSU,2,57,6,13,1,33,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2D-ASSU-3,2017,2-Sep-17,2,D,2D,ASSU,3,51,9,16,3,30,35,NA,NA,NA,NA,NA,NA,19,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3A-ASSU-1,2017,2-Sep-17,3,A,3A,ASSU,1,66,10,13,1,28,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3A-ASSU-2,2017,2-Sep-17,3,A,3A,ASSU,2,87,12,14,1,50,NA,NA,NA,NA,NA,NA,NA,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3A-ASSU-3,2017,2-Sep-17,3,A,3A,ASSU,3,57,9,19,2,34,NA,NA,NA,NA,NA,NA,NA,21,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3B-ASSU-1,2017,2-Sep-17,3,B,3B,ASSU,1,79,12,15,1,43,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3B-ASSU-2,2017,2-Sep-17,3,B,3B,ASSU,2,61,10,14,3,41,35,NA,NA,NA,NA,NA,NA,44,28,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3B-ASSU-3,2017,2-Sep-17,3,B,3B,ASSU,3,58,10,13,1,54,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ASSU-1,2017,2-Sep-17,3,C,3C,ASSU,1,54,8,14,1,43,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ASSU-2,2017,2-Sep-17,3,C,3C,ASSU,2,89,10,12,1,50,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3C-ASSU-3,2017,2-Sep-17,3,C,3C,ASSU,3,63,8,14,1,38,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3D-ASSU-1,2017,2-Sep-17,3,D,3D,ASSU,1,68,8,12,1,38,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3D-ASSU-2,2017,2-Sep-17,3,D,3D,ASSU,2,65,6,20,4,30,NA,NA,NA,NA,NA,NA,NA,22,0,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-3D-ASSU-3,2017,2-Sep-17,3,D,3D,ASSU,3,64,6,15,2,40,NA,NA,NA,NA,NA,NA,NA,27,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4A-ASSU-1,2017,2-Sep-17,4,A,4A,ASSU,1,61,7,21,7,NA,35,NA,NA,NA,NA,NA,NA,28,41,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4A-ASSU-2,2017,2-Sep-17,4,A,4A,ASSU,2,70,9,15,1,36,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4A-ASSU-3,2017,2-Sep-17,4,A,4A,ASSU,3,53,8,14,1,33,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4B-ASSU-1,2017,2-Sep-17,4,B,4B,ASSU,1,53,10,14,3,NA,NA,NA,NA,NA,NA,NA,NA,33,31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4B-ASSU-2,2017,2-Sep-17,4,B,4B,ASSU,2,67,6,11,3,NA,NA,NA,NA,NA,NA,NA,NA,25,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4B-ASSU-3,2017,2-Sep-17,4,B,4B,ASSU,3,55,7,16,4,NA,NA,NA,NA,NA,NA,NA,NA,33,28,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4C-ASSU-1,2017,2-Sep-17,4,C,4C,ASSU,1,63,10,13,1,29,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4C-ASSU-2,2017,2-Sep-17,4,C,4C,ASSU,2,47,6,18,4,37,37,NA,NA,NA,NA,NA,NA,30,11,32,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4C-ASSU-3,2017,2-Sep-17,4,C,4C,ASSU,3,71,8,13,1,36,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4D-ASSU-1,2017,2-Sep-17,4,D,4D,ASSU,1,57,7,13,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4D-ASSU-2,2017,2-Sep-17,4,D,4D,ASSU,2,46,8,14,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-4D-ASSU-3,2017,2-Sep-17,4,D,4D,ASSU,3,70,10,13,1,44,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6A-ASSU-1,2017,2-Sep-17,6,A,6A,ASSU,1,73,13,14,1,45,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6A-ASSU-2,2017,2-Sep-17,6,A,6A,ASSU,2,60,7,19,2,NA,NA,NA,NA,NA,NA,NA,NA,25,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6A-ASSU-3,2017,2-Sep-17,6,A,6A,ASSU,3,52,11,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ASSU-1,2017,2-Sep-17,6,B,6B,ASSU,1,50,8,19,3,38,37,NA,NA,NA,NA,NA,NA,47,48,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ASSU-2,2017,2-Sep-17,6,B,6B,ASSU,2,67,14,16,1,34,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6B-ASSU-3,2017,2-Sep-17,6,B,6B,ASSU,3,58,10,17,1,39,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ASSU-1,2017,2-Sep-17,6,C,6C,ASSU,1,66,15,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ASSU-2,2017,2-Sep-17,6,C,6C,ASSU,2,55,11,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6C-ASSU-3,2017,2-Sep-17,6,C,6C,ASSU,3,57,12,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6D-ASSU-1,2017,2-Sep-17,6,D,6D,ASSU,1,51,6,16,4,36,NA,NA,NA,NA,NA,NA,NA,40,51,47,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6D-ASSU-2,2017,2-Sep-17,6,D,6D,ASSU,2,51,4,15,2,26,NA,NA,NA,NA,NA,NA,NA,49,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-6D-ASSU-3,2017,2-Sep-17,6,D,6D,ASSU,3,62,12,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
